,Meta Data,Time Series (5min)
1. Information,"Intraday (5min) open, high, low, close prices and volume",
2. Symbol,IBM,
3. Last Refreshed,2021-04-13 19:30:00,
4. Interval,5min,
5. Output Size,Compact,
6. Time Zone,US/Eastern,
2021-04-13 12:15:00,,"{'1. open': '130.6850', '2. high': '130.7500', '3. low': '130.6350', '4. close': '130.7050', '5. volume': '63551'}"
2021-04-13 12:10:00,,"{'1. open': '130.8300', '2. high': '130.8300', '3. low': '130.6500', '4. close': '130.6900', '5. volume': '68786'}"
2021-04-13 12:05:00,,"{'1. open': '130.9900', '2. high': '131.0000', '3. low': '130.8000', '4. close': '130.8400', '5. volume': '37676'}"
2021-04-13 12:00:00,,"{'1. open': '131.0200', '2. high': '131.0399', '3. low': '130.8800', '4. close': '131.0000', '5. volume': '78639'}"
2021-04-13 11:55:00,,"{'1. open': '131.2500', '2. high': '131.2500', '3. low': '130.9800', '4. close': '131.0200', '5. volume': '62397'}"
2021-04-13 11:50:00,,"{'1. open': '131.2100', '2. high': '131.3100', '3. low': '131.2100', '4. close': '131.2400', '5. volume': '32807'}"
2021-04-13 11:45:00,,"{'1. open': '131.1300', '2. high': '131.2000', '3. low': '131.0900', '4. close': '131.2000', '5. volume': '36996'}"
2021-04-13 11:40:00,,"{'1. open': '131.2100', '2. high': '131.2400', '3. low': '131.1400', '4. close': '131.1400', '5. volume': '60898'}"
2021-04-13 11:35:00,,"{'1. open': '131.2500', '2. high': '131.3000', '3. low': '131.2200', '4. close': '131.2300', '5. volume': '42182'}"
2021-04-13 11:30:00,,"{'1. open': '131.3800', '2. high': '131.3850', '3. low': '131.1500', '4. close': '131.2500', '5. volume': '78093'}"
2021-04-13 11:25:00,,"{'1. open': '131.0900', '2. high': '131.4056', '3. low': '131.0900', '4. close': '131.3800', '5. volume': '83245'}"
2021-04-13 11:20:00,,"{'1. open': '131.0800', '2. high': '131.1250', '3. low': '130.9799', '4. close': '131.1000', '5. volume': '66835'}"
2021-04-13 11:15:00,,"{'1. open': '130.9800', '2. high': '131.1000', '3. low': '130.9700', '4. close': '131.0800', '5. volume': '95847'}"
2021-04-13 11:10:00,,"{'1. open': '130.7800', '2. high': '130.9900', '3. low': '130.7700', '4. close': '130.9800', '5. volume': '109524'}"
2021-04-13 11:05:00,,"{'1. open': '130.9000', '2. high': '130.9550', '3. low': '130.7600', '4. close': '130.7800', '5. volume': '110284'}"
2021-04-13 11:00:00,,"{'1. open': '130.8900', '2. high': '130.9250', '3. low': '130.8001', '4. close': '130.9050', '5. volume': '63440'}"
2021-04-13 10:55:00,,"{'1. open': '130.7400', '2. high': '130.9650', '3. low': '130.6165', '4. close': '130.9050', '5. volume': '95515'}"
2021-04-13 10:50:00,,"{'1. open': '130.7301', '2. high': '130.8993', '3. low': '130.5985', '4. close': '130.7300', '5. volume': '196270'}"
2021-04-13 10:45:00,,"{'1. open': '130.8150', '2. high': '130.8200', '3. low': '130.5900', '4. close': '130.7500', '5. volume': '124275'}"
2021-04-13 10:40:00,,"{'1. open': '130.9550', '2. high': '133.0000', '3. low': '130.8116', '4. close': '130.8250', '5. volume': '116407'}"
2021-04-13 10:35:00,,"{'1. open': '130.9600', '2. high': '131.0050', '3. low': '130.8900', '4. close': '130.9500', '5. volume': '151542'}"
2021-04-13 10:30:00,,"{'1. open': '131.3800', '2. high': '131.3800', '3. low': '130.9200', '4. close': '130.9600', '5. volume': '118606'}"
2021-04-13 10:25:00,,"{'1. open': '131.3600', '2. high': '131.5572', '3. low': '131.3600', '4. close': '131.3800', '5. volume': '108593'}"
2021-04-13 10:20:00,,"{'1. open': '131.1800', '2. high': '131.3600', '3. low': '131.0500', '4. close': '131.3600', '5. volume': '67712'}"
2021-04-13 10:15:00,,"{'1. open': '131.2000', '2. high': '131.2400', '3. low': '131.0500', '4. close': '131.1700', '5. volume': '100427'}"
2021-04-13 10:10:00,,"{'1. open': '131.4100', '2. high': '131.4700', '3. low': '131.1900', '4. close': '131.2050', '5. volume': '106892'}"
2021-04-13 10:05:00,,"{'1. open': '131.2800', '2. high': '131.4900', '3. low': '131.1400', '4. close': '131.4250', '5. volume': '114855'}"
2021-04-13 10:00:00,,"{'1. open': '131.2800', '2. high': '131.4700', '3. low': '131.1500', '4. close': '131.2900', '5. volume': '101398'}"
2021-04-13 09:55:00,,"{'1. open': '131.8650', '2. high': '133.0000', '3. low': '131.2600', '4. close': '131.2798', '5. volume': '183991'}"
2021-04-13 09:50:00,,"{'1. open': '132.0000', '2. high': '132.0000', '3. low': '131.6900', '4. close': '131.8600', '5. volume': '108893'}"
2021-04-13 09:45:00,,"{'1. open': '132.2200', '2. high': '132.2400', '3. low': '131.8200', '4. close': '132.0000', '5. volume': '178751'}"
2021-04-13 09:40:00,,"{'1. open': '132.4000', '2. high': '132.5700', '3. low': '132.0500', '4. close': '132.2450', '5. volume': '161652'}"
2021-04-13 09:35:00,,"{'1. open': '133.0000', '2. high': '133.6200', '3. low': '132.3100', '4. close': '132.4200', '5. volume': '683215'}"
2021-04-13 09:30:00,,"{'1. open': '133.8600', '2. high': '134.0200', '3. low': '132.8100', '4. close': '132.8100', '5. volume': '13513'}"
2021-04-13 09:20:00,,"{'1. open': '134.0300', '2. high': '134.0300', '3. low': '134.0000', '4. close': '134.0000', '5. volume': '1146'}"
2021-04-13 09:15:00,,"{'1. open': '134.2000', '2. high': '134.2000', '3. low': '134.1700', '4. close': '134.1700', '5. volume': '656'}"
2021-04-13 09:10:00,,"{'1. open': '134.2000', '2. high': '134.2000', '3. low': '134.2000', '4. close': '134.2000', '5. volume': '2420'}"
2021-04-13 09:05:00,,"{'1. open': '134.2000', '2. high': '134.2000', '3. low': '134.2000', '4. close': '134.2000', '5. volume': '301'}"
2021-04-13 08:50:00,,"{'1. open': '134.2500', '2. high': '134.2500', '3. low': '134.2500', '4. close': '134.2500', '5. volume': '2450'}"
2021-04-13 08:10:00,,"{'1. open': '134.2000', '2. high': '134.2000', '3. low': '134.2000', '4. close': '134.2000', '5. volume': '302'}"
